NC_039899.1	Cara002_chrA_sgEE
NC_039901.1	Cara004_chrB_sgEE
NC_039903.1	Cara006_chrC_sgEE
NC_039905.1	Cara008_chrD_sgEE
NC_039906.1	Cara010_chrE_sgEE
NC_039909.1	Cara012_chrF_sgEE
NC_039911.1	Cara014_chrG_sgEE
NC_039912.1	Cara016_chrH_sgEE
NC_039915.1	Cara018_chrI_sgEE
NC_039916.1	Cara020_chrJ_sgEE
NC_039919.1	Cara022_chrK_sgEE_A
NC_039898.1	Cara001_chrA_sgCC
NC_039900.1	Cara003_chrB_sgCC
NC_039902.1	Cara005_chrC_sgCC
NC_039904.1	Cara007_chrD_sgCC
NC_039907.1	Cara009_chrE_sgCC
NC_039908.1	Cara011_chrF_sgCC
NC_039910.1	Cara013_chrG_sgCC
NC_039913.1	Cara015_chrH_sgCC
NC_039914.1	Cara017_chrI_sgCC
NC_039917.1	Cara019_chrJ_sgCC
NC_039918.1	Cara021_chrK_sgCC
